4600 -0.49730694 -0.10319738 4.68899956
4700 -0.43091568 -0.04285269 14.73396001
4800 -0.49752066 -0.08104964 7.07766785
4900 -0.42628061 -0.09723065 7.99804392
5000 -0.39044104 -0.07970548 13.23696872
5100 -0.47607874 -0.11267895 4.09859616
5200 -0.42000841 -0.10728148 7.49768989
5300 -0.43353994 -0.09595539 7.62111094
5400 -0.42322054 -0.14228476 4.61306714
5500 -0.40400423 -0.08626683 11.07521084
5600 -0.41244307 -0.11801929 7.19352625
5700 -0.40829725 -0.10865533 8.37662198
5800 -0.42542656 -0.08393586 9.51604193
5900 -0.44075182 -0.12376003 4.66143989
6000 -0.46001887 -0.03155917 14.98540234
6100 -0.42117324 -0.11888187 6.39690467
6200 -0.48742944 -0.11344080 3.82525722
6300 -0.42328764 -0.09151285 8.82712405
6400 -0.37503335 -0.04923209 19.17381210
6500 -0.46201594 -0.04036956 13.46233321
6600 -0.44207575 -0.07402389 9.61259872
6700 -0.42145045 -0.05947906 12.95808331
6800 -0.48507406 -0.08440888 6.79204543
6900 -0.38193657 -0.09124240 12.88359473
7000 -0.45785661 -0.09289111 6.62418928
7100 -0.46731212 -0.09250996 6.31130361
7200 -0.43315010 -0.06450697 11.41363510
7300 -0.42940849 -0.10818876 6.70623231
7400 -0.42584263 -0.05952965 12.61561763
7500 -0.39209500 -0.06577031 14.83055019
7600 -0.40775768 -0.08706635 10.63132692
7700 -0.37620918 -0.06065818 17.37015414
7800 -0.40279550 -0.10528867 9.20947503
7900 -0.43630661 -0.04273651 14.39432702
8000 -0.51165037 -0.15315675 1.16501056
8100 -0.47544615 -0.11620459 3.81228117
8200 -0.42282390 -0.07405171 10.90956083
8300 -0.47567791 -0.10225392 5.07293020
8400 -0.43642654 -0.07418280 9.93577704
8500 -0.49926852 -0.12874793 2.53869611
8600 -0.46403025 -0.09096781 6.59092049
8700 -0.45661693 -0.05482297 11.47923011
8800 -0.37269646 -0.12540039 10.88564711
8900 -0.51469986 -0.15965904 0.92173944
